fecha,index,Dia juliano,U,TA1,HR1,TA3,HR3,TA4,HR4,RG,e0,ea,Ra,Rnc,RS0,Tmin,Tmax,Rnl
2018-04-22,5580.5,112.0,0.0,20.397812500000004,87.97041666666668,20.6684375,87.84395833333336,20.61760416666667,87.36208333333333,50.53031249999997,2.43383235055514,2.121636002828859,34.94623639436655,38.908340625,26.209677295774828,7.294999999999992,23.230000000000015,142785.54936629816
2018-04-23,5676.5,113.0,0.4884166666666667,17.2309375,81.38031249999997,17.506770833333334,48.465479166666675,17.452395833333338,80.99427083333335,97.22520833333341,2.0018184523711784,1.6276170628370936,35.0310200452906,74.86341041666668,26.27326503396806,5.24900000000001,20.25,183854.49270898066
2018-04-24,5772.5,114.0,0.0,16.208437500000002,72.98927083333332,16.35333333333333,51.34260416666668,16.43927083333334,73.08895833333332,74.65923958333332,1.8797800850056692,1.3696844377586315,35.111366764098,57.487614479166645,26.333525073073535,6.649,19.13000000000005,112103.22886683424
2018-04-25,5868.5,115.0,0.0,18.52114583333334,86.7052083333334,18.782395833333332,66.30697916666664,18.753750000000004,86.21937499999997,81.95136458333334,2.173426469766429,1.8632489282891067,35.18735399669787,63.10255072916669,26.390515497523392,11.210000000000015,22.67000000000003,238316.05690922038
2018-04-26,5964.5,116.0,0.5569375,18.579687499999995,90.50729166666669,18.89072916666666,43.01770833333333,18.789374999999996,89.66145833333331,27.003499999999985,2.1765863865359028,1.9470271482851567,35.259062732097256,20.792695,26.444297049072873,13.809999999999967,20.75,49964.399705832126
2018-04-27,6060.5,117.0,0.0183936170212766,18.064787234042548,86.33531914893616,18.241702127659565,28.722446808510643,18.27840425531915,85.01244680851063,13.116691489361704,2.12726769585342,1.8124869892116011,35.32657737369485,10.099852446808514,26.494933030271152,11.610000000000001,21.730000000000015,17491.986651982315
2018-04-28,6156.5,118.0,0.0,14.169479166666674,77.43645833333333,14.376354166666673,27.549208333333322,14.428125000000001,76.97197916666671,106.78759375,1.6598161020064666,1.2533540718503595,35.38998560616448,82.22644718749997,26.542489204623365,9.019999999999989,23.35999999999997,371245.55554591847
2018-04-29,6252.5,119.0,0.0,16.23010416666666,85.82354166666671,16.519375,240.18499999999997,16.492187499999993,84.88364583333333,38.51120833333332,1.8819322606730555,1.5984558217945228,35.44937825800071,29.653630416666672,26.587033693500555,7.330000000000008,19.779999999999976,57324.420980857685
2018-04-30,6348.5,120.0,0.004885416666666667,14.22020833333333,67.64729166666665,14.421562499999999,244.1461458333334,14.460833333333333,67.07781250000001,138.5030416666667,1.655239683900823,1.1135548172059029,35.50484915981189,106.64734208333334,26.628636869858884,3.863999999999995,17.980000000000015,175979.27474961395
2018-05-01,6444.5,121.0,0.0,12.265416666666665,63.12760416666665,12.350000000000001,61.01009375000003,12.500520833333335,62.72875000000001,144.38352083333334,1.455350372445188,0.9035065994276898,35.55649499844049,111.17531104166663,26.667371248830435,7.346999999999988,19.230000000000015,247666.18546228297
2018-05-02,6540.5,122.0,0.0,15.769583333333339,80.65489583333333,15.556874999999998,59.33909374999998,16.046041666666667,80.2059375,108.24543750000008,1.8590334596554186,1.4702232986471386,35.60441516700075,83.348986875,26.703311375250497,10.870000000000003,20.45000000000003,225163.02433828506
2018-05-03,6636.5,123.0,0.0,16.667916666666656,85.15750000000004,16.74135416666667,60.50718749999999,16.979270833333338,84.90916666666668,98.56057291666669,1.952975533122545,1.6355650373425794,35.64871161092609,75.89164114583332,26.736533708194646,11.159999999999995,21.259999999999994,232830.39094734867
2018-05-04,6732.5,124.0,0.0,14.577291666666666,74.82281250000001,14.625520833333333,36.96451041666666,14.861770833333336,74.55187500000001,58.088864583333354,1.6982121743266705,1.2589708144011509,35.6894886701248,44.72842572916665,26.767116502593595,9.740000000000007,18.440000000000037,78032.13818145369
2018-05-05,6828.5,125.0,0.0,14.659270833333336,54.8059375,14.8021875,29.22346875,14.884270833333332,54.48395833333334,111.08445833333333,1.6969471135795224,0.9179235058089148,35.72685291734648,85.53503291666664,26.795139688009836,10.789999999999985,18.619999999999955,178659.07686490146
2018-05-06,6924.5,126.0,0.0,16.258229166666666,84.056875,16.26114583333334,69.71020833333334,16.54395833333333,83.48687500000001,83.1849583333333,1.8996912950815446,1.5761375727975535,35.76091299287068,64.05241791666666,26.820684744653096,5.685999999999994,20.769999999999985,162549.75073892684
2018-05-07,7020.5,127.0,0.0,17.417395833333327,82.65760416666669,17.58552083333333,65.94945833333334,17.712499999999995,82.43583333333335,128.10398958333334,2.0551850938753513,1.6547588416491852,35.79177943563549,98.64007197916662,26.843834576726707,3.685000000000002,22.849999999999962,378231.79126376245
2018-05-08,7116.5,128.0,0.0,18.238958333333333,85.54208333333331,18.458854166666672,63.485833333333346,18.530937500000004,84.87031250000004,52.23005208333331,2.1386334165573273,1.809853162212575,35.819564510928,40.21714010416666,26.86467338319594,7.966999999999992,20.519999999999985,92526.6670507641
