fecha,u[m/s]         ,Ts[degC]       ,a[g/m3]        ,p_ref[hPa]     ,Var[u]         ,Var[Ts]        ,Var[a]         ,dir[deg]       ,ustar[m/s]     ,HTs[W/m2]      ,LvE[W/m2]      ,z/L            ,z/L-virt       ,Flag(ustar)    ,Flag(HTs)      ,Flag(LvE)      , r_err_ustar[%],   r_err_HTs[%],   r_err_LvE[%],T_min,T_max
2018-07-04,1.2208042204301075,4.02598349032258,6.936746808510643,1022.5088654374998,0.14028022150537636,0.04975173010752686,0.023091582795698923,49.09966930430105,0.11105661935483872,6.966585926086955,12.551093444565215,0.4900889516129029,0.437781005376344,1.8854166666666667,2.4166666666666665,3.3020833333333335,8.689927850537629,30.14397819021739,79.59941892717389,-0.1948960999999999,8.3710241
2018-07-05,0.73923095,4.328775587499999,7.6196007625,1013.9859542812501,0.046711137499999986,0.013537399999999988,0.0045969999999999995,153.7046174875,0.0580498,-2.4197240124999997,1.046859525,0.5966914625,0.538447075,8.458333333333334,8.385416666666666,8.583333333333334,7.719143387499999,13.97940635,45.47973763749998,4.090827900000005,4.622749800000005
2018-07-06,4.282507282857142,9.06214754857143,9.917437814999996,1018.1654008437495,1.390258645714285,0.10729234285714277,0.015009486111111102,207.90084708571428,0.4641603399999999,25.49566711999999,33.91832723714284,0.002339865714285721,0.0017682542857142861,6.125,6.5625,6.270833333333333,4.179321259999999,9.551700939999996,15.922110225714286,4.742069200000002,10.238590199999983
2018-07-07,3.9578048028571424,9.99023855142857,9.740808894736837,1016.8078816770832,1.1203919571428569,0.011442211428571427,0.06443551142857142,248.26007690857145,0.4123907771428571,-18.88465743428571,5.840561936363634,0.007934677142857144,0.00749961714285714,6.145833333333333,6.90625,7.09375,5.305818214285713,10.062513734285712,89.54112173939394,9.153078100000009,10.231260300000008
2018-07-08,2.4484254620689656,7.7356675310344825,9.148157,1018.7942352708332,0.43291327931034485,0.06210818275862065,0.006222593103448276,270.8060986758621,0.25825447931034473,-29.91194236551724,10.14615001034483,0.05096289999999999,0.04890489310344827,6.583333333333333,6.770833333333333,6.708333333333333,5.817640448275862,9.665504748275861,15.00006216206896,6.260869500000009,9.789395300000017
2018-07-09,1.459840814285714,4.990025669047617,7.563409257500001,1022.2430890833335,0.14091910714285708,0.06294757857142856,0.013129305128205102,305.42067555476194,0.1299624857142856,-11.409361466666667,3.286077820512819,0.15127586666666687,0.12367512142857137,5.6875,5.885416666666667,6.3125,6.698200714285714,14.09024490238095,42.51507470512821,2.028680299999998,7.4019426999999824
2018-07-10,2.798905570212765,6.048407210638295,8.618450953658536,1022.2630157499995,0.7767213659574466,0.10045356382978725,14.013400090243904,97.47419416170213,0.27499990212765946,29.28978758043475,23.19553200249999,1.1597530574468093,0.9838228893617018,5.635416666666667,6.083333333333333,6.197916666666667,6.740515593617016,23.181239434782608,33.30630419749999,-0.6200686000000014,10.166722299999977
2018-07-11,2.9004520157894724,6.112732031578947,18.781789095238096,1018.8230018854165,0.659091686842105,0.1565489710526316,11.66827399,98.67120319999998,0.299924594736842,4.4712947432432415,68.40060809999999,0.04675110526315789,0.043884292105263144,5.916666666666667,7.052083333333333,7.875,5.119293115789474,13.956093208108104,48.454981794999995,2.5466428000000003,11.972686800000012
2018-07-12,4.586807075,9.6771600375,10.21720667,1013.1271470416667,1.6479171750000001,0.025783774999999995,0.0015907375,48.239625700000005,0.4964030499999999,-40.14679076249999,4.769950575,0.009017812499999998,0.008736474999999999,8.333333333333334,8.5,8.333333333333334,3.8914878999999996,7.79022885,11.768885962499999,9.465293900000004,9.957756000000012
2018-07-13,2.1145167256410247,10.210859042307689,9.764607307594932,1012.51455821875,0.36407255000000005,0.07274454615384614,0.023140737179487177,67.96560205897437,0.21985441923076907,-2.6170660935897483,13.511895133333333,0.04171925,0.03876004871794873,2.5729166666666665,3.0520833333333335,4.052083333333333,5.4445744679487165,14.370705871794872,49.859691396153835,5.773049399999994,15.479433100000032
2018-07-14,1.6751256428571428,8.80145645,6.83541002352941,1012.5500399479166,0.22441360000000005,0.020373964285714277,0.43446435714285714,81.30543899285713,0.14714607142857136,-9.178737249999989,2.356765661538463,0.5706391214285714,0.5104778071428571,7.927083333333333,7.947916666666667,8.447916666666666,8.509053192857134,13.511373992857141,73.58397834615383,8.384233500000015,9.102807999999989
2018-07-15,2.2250438599999987,9.051848008,9.910116503703701,1014.7218894895835,0.4071573919999999,0.069789488,0.07396327999999999,279.0855920359999,0.23317993599999987,7.528919467999997,12.979807935999991,0.03981944799999999,0.033846023999999995,6.9375,7.1875,7.229166666666667,6.198625687999997,13.28031262799999,30.329479015999997,7.26114080000001,10.480328600000005
2018-07-16,1.4628081449999997,3.7283825949999994,6.6229931181818165,1016.9413108958332,0.10242135,0.14971868999999996,0.005844675,223.00059052,0.09874114499999999,-15.448488945,1.4021825000000006,0.48926034000000007,0.45969653,7.59375,7.875,8.010416666666666,10.844972774999997,48.51599978999999,62.60854574,2.7971458000000045,4.7218813999999885
2018-07-17,3.208472284848482,8.009754940909087,9.187074231343281,1022.6358286770828,0.9407652787878784,0.12492210454545455,0.009160631818181815,206.03771578939393,0.36879549545454543,34.73126790909088,13.805108390909085,0.018953286363636343,0.018308856060606053,3.5625,3.8645833333333335,4.416666666666667,4.999486972727271,12.458799740909086,29.70791483030303,4.380357699999994,11.028982199999886
2018-07-18,5.765081088888887,11.35412463518519,1.3849641434782607,1016.6832669375,20.329560346296294,22.62251889814814,13.899347488888884,211.26451336851855,2.315436012962963,4758.9865292259265,107.80740413695655,-0.006910674074074074,-0.006839600000000001,4.541666666666667,5.84375,6.416666666666667,2.615789812962962,8.074633631481477,123.02321478888886,10.078278500000009,12.669271499999999
2018-07-19,,,,1013.25,,,,,,,,,,9.0,9.0,9.0,,,,,
2018-07-20,6.607809749999998,8.18715866875,3.9209110249999997,1010.7420832270835,12.728917856249993,14.745696368749995,42.592074975,34.059841049999996,2.1892169374999995,6673.058426031251,470.8461348187507,-0.007190300000000001,-0.007094593750000001,7.666666666666667,8.083333333333334,8.041666666666666,3.3079264500000005,11.3498392125,243.38795761249995,5.026768699999994,12.342170699999999
2018-07-21,4.281486318644066,8.220765977966101,9.439690780645162,1012.0502834635419,2.4843351101694915,3.1924717779661034,0.3564821237288132,64.70404433559318,0.587796901694915,488.65080331864414,53.08074892203387,0.05441798983050847,0.0504260779661017,4.239583333333333,4.90625,4.78125,5.153731049152541,12.820588088135592,21.126943276271174,3.8764327000000054,11.953710600000015
2018-07-22,2.647635875510203,4.721685261224489,9.076002430612242,1014.5035718645831,0.5712041408163262,0.04238421428571428,0.009015383673469388,92.47950773673467,0.25938910816326527,-18.055449345833335,13.397617527659571,0.1499574224489795,0.14465201020408158,5.020833333333333,5.479166666666667,5.854166666666667,5.183679310204081,16.449861593749997,45.04235122765933,2.5873129,9.046071099999983
2018-07-23,1.0221468,1.6071005250000001,7.352510766666668,1014.4868977812501,0.010770400000000001,0.029276774999999977,0.0018562500000000003,25.052248475000003,0.027390849999999998,-0.6134933499999999,0.2314016666666667,0.931385575,0.8545728499999999,8.6875,8.822916666666666,8.833333333333334,9.076916725,116.24862787499998,115.60072329999997,1.0646117999999987,2.218589500000005
2018-07-24,1.4325951,0.9775068,7.0215478,1013.4587910937499,0.0034626,0.019779,0.000192,23.5948563,0.0309258,-3.1197405,-1.1367207,2.7242978,2.5599998,8.9375,8.9375,8.9375,5.9781342,17.0039196,16.7618523,0.9775068000000003,0.9775068000000003
2018-07-25,1.8668138421874998,6.688050973437499,13.169075106521738,1026.742084541667,0.30679510156249984,0.19019993124999995,25.119808310869566,228.88153032812497,0.17991201249999997,26.231507240740736,21.354477545652177,5.7680121203125,0.19809169218750008,4.395833333333333,5.59375,6.260416666666667,8.981227340624999,21.77589672407406,36.607571163043474,-0.9753115,11.840457000000013
2018-07-26,4.103703172916666,10.71255095520833,11.362319157291664,1027.619171197916,1.362772394791666,0.08497513541666661,0.0065239208333333345,216.11227830416667,0.4645355802083331,8.969326341666632,12.413266475531913,0.010009986458333326,0.009650358333333326,1.0,2.59375,2.4583333333333335,3.7456140874999995,10.595536979166662,44.01626334680852,8.297348000000019,13.290058099999987
2018-07-27,3.876560292708333,11.319446097916662,11.540963268478258,1022.6789983854165,1.1913251093749995,0.09218732500000003,27.1261846771739,215.41353210104168,0.43831550833333327,26.008961720833298,19.269751847826075,-8.232187500000183e-05,-0.0003908625000000001,1.0,2.7708333333333335,2.78125,4.047918842708333,17.053092961458336,41.40674998260869,10.22139549999998,13.744977999999968
2018-07-28,3.273381585416665,10.880937812499996,7.445727273626379,1013.697289875,0.9091921,0.00583467083333333,64.0058640111111,233.28873157187488,0.3634432812499999,6.0456627399999885,-84.44069043406598,-0.002217554166666666,-0.00018427916666666392,1.0,2.96875,4.583333333333333,4.4705385802083315,12.687970778947367,88.34097673736262,10.303447699999994,11.701141399999997
2018-07-29,3.4378636791666666,10.22000795833333,9.950619443835615,1007.2868951770835,1.0764923968749998,0.030170103124999983,3.1384456986111107,292.06240263854164,0.34339836562499987,-4.275678218750002,28.19141860833333,0.03670272291666666,0.034419528124999994,1.0,2.84375,4.020833333333333,5.000023107291665,14.947330997916659,48.633201115492916,6.8828420999999915,11.940020600000018
2018-07-30,2.7890062093749983,6.6210798281250005,7.2527242437499995,1015.6475760208333,0.6953114302083329,0.0873082614583333,0.7587584229166658,197.10363560937483,0.29035216354166654,-2.7324386854166622,47.938853685106345,0.03709815520833331,0.03451654999999997,1.0520833333333333,2.1770833333333335,2.875,4.83235850625,13.99437559479167,38.7861475904255,2.283523099999997,12.742804499999998
2018-07-31,1.9624776031249989,4.764125376041665,6.987173819791667,1024.816015270833,0.36234394583333324,0.20754320729166661,0.08267985208333332,154.90974669062493,0.19481562187499993,20.632583178124975,26.28035059166665,0.19556859062499987,0.25095497187499993,1.9583333333333333,2.375,2.5729166666666665,7.418313749999997,19.708456118749982,30.694858439583317,1.3226638999999978,10.3646698
2018-08-01,2.4862066145833324,4.073763110416665,6.892068772916667,1024.41776346875,0.5909174760416663,0.1724350760416666,0.02809398125,80.09441969791659,0.23955500208333338,28.367458219791672,27.915990235106374,1.0555585510416676,0.8842379979166658,1.4791666666666667,2.0625,2.8333333333333335,5.627551799999999,11.925162140624998,29.759860441489344,-1.7512089999999987,10.279778500000015
2018-08-02,1.8718643260416652,5.595186553124999,7.8442389802816885,1024.7010911770838,0.30071853124999987,0.17193646562499995,0.3069816929577461,107.22313169374992,0.18434545937499994,23.840124293749962,27.164734960000015,0.1658276249999999,0.15854798750000001,1.4270833333333333,2.8125,4.104166666666667,5.972782692708331,14.183926192708327,30.470820091428557,0.394106399999999,12.486478799999988
2018-08-03,1.6005777302083322,7.301035313541671,16.607193368888883,1022.0781300833332,0.34349991979166655,0.14442972708333332,13.260195640000001,194.55984626666665,0.16572682604166664,36.44961197631581,50.99132873333331,0.6944775125000001,0.4968973239583336,3.0,5.21875,6.447916666666667,11.438343821874993,29.21915893421053,42.598504533333326,1.6657845999999974,13.032551799999984
2018-08-04,1.4421502124999994,8.811009284374997,9.5652879016129,1018.3683059062504,0.39087035937499987,0.7861243947916665,24.197603596721308,218.63138824687493,0.18706236145833333,85.30892344615384,42.62432751311473,-0.09431426145833342,-0.12509772812500022,1.8854166666666667,3.3229166666666665,5.65625,10.417699813541667,20.49219727582416,70.5853432032787,3.0758342999999972,15.211838700000024
2018-08-05,2.621432111458334,8.66784482708333,13.035049966666662,1015.361503,0.6015094333333332,0.14667400625,5.016068348484849,69.96367969270831,0.2560352062500001,9.030539575000002,46.926214157575764,0.39058744583333344,0.3390333354166665,1.3333333333333333,3.2291666666666665,4.302083333333333,6.049555045833331,13.836563474999991,57.953059610606076,1.6812596000000017,16.40625380000004
2018-08-06,2.715148013541666,11.462556072916662,9.973230032291662,1015.963881875,0.5567171083333331,0.15236011562499993,0.03255353333333334,87.14205193541665,0.2778436770833334,11.78934204687497,22.47808814210526,0.04639113229166664,0.04503269791666667,1.0208333333333333,1.4895833333333333,2.46875,4.654057087499996,10.081745996874997,35.50946674105259,5.7605500000000065,18.796625100000025
2018-08-07,2.9234411625,11.742616267708323,10.240533878124994,1013.1571757395833,0.8465668083333332,0.0748931364583333,0.029284663541666645,132.4409780989583,0.3247996697916666,1.4584947416666687,17.145427307368426,0.07064205104166667,0.068268678125,1.5,1.90625,3.0625,5.382033911458332,12.681140453125003,53.5402423768421,8.299923899999987,16.711429599999978
2018-08-08,5.9439337864583335,10.156665143750002,5.169720151041665,1015.4642372916664,11.33006811666666,17.371019578125,1.5616162302083334,277.2200508083332,1.379719696875,3688.963341715625,153.48156727368425,0.8610460479166661,0.5802151041666667,1.4479166666666667,3.125,3.90625,6.055042908333335,17.25628254895832,76.08232674210522,8.073421499999997,16.45099830000002
2018-08-09,6.39714710625,8.201443685416669,6.892249983333332,1023.771115645833,3.0644560020833342,0.050060303124999955,0.017737266666666668,280.1050949124999,0.678260847916667,-8.074221658333338,42.105364992631586,-0.00048427395833333295,-0.0007235499999999998,1.0,2.8854166666666665,1.4791666666666667,4.0161416656250015,8.04367001770833,10.335874615789471,7.2365088000000135,9.21921829999999
2018-08-10,4.437289757291667,9.797008835416664,5.584618407142854,1021.8605054583335,1.411416553125,0.035505938541666664,3.7814675728571427,290.96716372291667,0.4413818927083333,13.505699551063808,9.845810141428569,-0.0032893312499999994,-0.002825855208333332,1.0,3.1145833333333335,5.125,4.648327754166666,9.634849436170205,117.82046145714287,7.874353400000011,12.15837099999999
2018-08-11,1.961332521875,10.743543779166659,13.243530276923073,1022.33916734375,1.1421082510416665,2.071647008333333,44.23421550769229,217.65530006145823,0.4641099635416666,956.8802351322208,683.9385952680001,-0.05596385416666667,-0.04677249583333331,1.46875,4.0,6.697916666666667,6.2549571395833325,16.150887083333327,119.14980487999996,9.333840399999987,15.093996999999964
2018-08-12,2.637766139583333,12.148673922916663,11.178594140350873,1020.9332491770837,0.5569185093749999,0.07383807708333327,0.14086454385964908,118.7240047479166,0.2932494874999999,18.11512858105262,31.034235426315778,0.009979921875,0.009261405208333328,1.0,3.0833333333333335,5.03125,4.653582792708333,12.2704168831579,39.35159992982456,10.711191200000009,15.021616900000021
2018-08-13,1.7865504749999987,11.855117416666658,11.017840514285714,1016.08056778125,0.3005539541666665,0.04225279374999999,1.8721027226190472,145.40321216979154,0.1896337989583334,9.546726013978494,6.939508896385538,0.08992344270833331,0.08571734479166666,1.4375,2.2395833333333335,4.0,6.641558442708331,19.748457407526878,70.4789925518072,7.299979699999995,15.066906000000012
2018-08-14,4.677935195833331,10.835179658333333,9.285694563440856,1016.728389177083,1.9534048260416668,0.18688967395833336,0.9822485387096765,270.066994240625,0.5050986520833333,38.97023002291666,74.42694018602147,0.036494538541666656,0.033891675,1.2083333333333333,2.5416666666666665,2.5,4.675426613541668,17.632283782291665,36.73577339569891,5.332897699999993,13.509685500000002
